Config,Expe,Metric,core 0
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.792160
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Read BW [MBytes/s],3.762052
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Write BW [MBytes/s],1.959977
seq-perfmon,BaseDeformationMapping applyJT vec,Memory BW [MBytes/s],5.722029
seq-perfmon,BaseDeformationMapping applyJT vec,Memory data volume [GBytes],0.000332
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.018074
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.047862
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2997.617765
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.770680
seq-perfmon,BaseStrainMapping applyDJT,Memory Read BW [MBytes/s],12.559726
seq-perfmon,BaseStrainMapping applyDJT,Memory Write BW [MBytes/s],7.283720
seq-perfmon,BaseStrainMapping applyDJT,Memory BW [MBytes/s],19.843446
seq-perfmon,BaseStrainMapping applyDJT,Memory data volume [GBytes],0.000359
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.015577
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.023170
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2995.254399
seq-perfmon,BaseDeformationMapping apply,CPI,0.727467
seq-perfmon,BaseDeformationMapping apply,Memory Read BW [MBytes/s],6.635258
seq-perfmon,BaseDeformationMapping apply,Memory Write BW [MBytes/s],3.393637
seq-perfmon,BaseDeformationMapping apply,Memory BW [MBytes/s],10.028894
seq-perfmon,BaseDeformationMapping apply,Memory data volume [GBytes],0.000156
seq-perfmon,Simu,Runtime (RDTSC) [s],3.957217
seq-perfmon,Simu,Runtime unhalted [s],1.107475
seq-perfmon,Simu,Clock [MHz],2993.056020
seq-perfmon,Simu,CPI,1.088730
seq-perfmon,Simu,Memory Read BW [MBytes/s],0.674721
seq-perfmon,Simu,Memory Write BW [MBytes/s],0.368534
seq-perfmon,Simu,Memory BW [MBytes/s],1.043254
seq-perfmon,Simu,Memory data volume [GBytes],0.004128
